"pname","pid","grid_id","pattern_id","num_clicks","uLSC","uInt","fLSC_nondetrended","fInt_nondetrended","time_taken","final_grid","fLSCpold","fIntpold","uLSCr","uIntr","fLSCr","fIntr","uLSCp","uIntp","fLSCp","fIntp","uLSCdiffr","uIntdiffr","uLSCdiffp","uIntdiffp","pattern","uLSCsq","uLSCpsq","uIntsq","uIntpsq","fLSCpoldsq","fLSCpsq","fIntpoldsq","fIntpsq","predicted_clicks","residuals"
"0evomqv4","18","46",73,81,-0.496510251319069,-0.479320378216883,0.586131803873728,40,41,"011111001111111111100111110100011001111111111100110001100000111111111111111000001100101111111111111111101001110011111111111111111110011110111111111111111111111011001111111111111111111111100001111111111111111111111100111111111111111111111111111111111111100000001111111111111111111101011001111111111111111111110001001111111111111111111010011001111111111111111111000011001111111111111111111010010101111111111111111111001000101111111111111111111110100011111111111111111111111010101111111111111111111111100001111111111001111111111111111111111100001111111111111111111111100110111111111111111111111011110011111111111111111110011100101111111111111111101001100000111111111111111000001100011001111111111100110001011111001111111111100111110",0.0393772780195117,0.304568225869618,-2.63942347888456,-2.13659887024999,-2.11956175220141,-1.86713259201404,-1.71765923945065,-1.00391779588339,-1.11152848711829,-0.886452184996111,0.821301715572718,0.999803099113612,0.255106878536813,0.0225140876551144,"73",-0.781567786159984,-1.90073084452364,-0.593620312590316,-0.736462143205044,-0.312606589656161,0.0599291691319351,-0.375054660864737,-0.0796282111332833,27.6887082305936,53.3112917694064
"0epvtb35","12","22",30,58,-1.27632487073595,1.18448128121656,0.952947732167752,151,47,"000222000222000222000222000000222000222000222000222000000222000222000222000222000222000222000000000222000222222000222000010000222000222222000222000111000222000222000222000000010000000000000000222000000101000000000000000222000001010100000000000222000000010101010000000222222000000101010101000000222222000001010101010100000222000001010101010101010100000000011101010101010101110000000001010101010101010100000222000001010101010100000222222000000101010101000000222222000000010101010000000222000222000001010100000222000000222000000101000000222000000222000000010000000222000222000222000111000222000222222000222000010000222000222222000222000000000222000222000222000222000222000222000000222000222000222000222000000222000222000222000222000",-1.72735838033966,1.54001411188548,-1.30862517083509,2.08209134700732,-2.26070355039794,0.914701864297369,-0.690233447781133,3.75865819825263,-1.91249661322067,2.00837924941398,-0.721712383082253,-0.124916201118408,-1.1643136850402,-0.868601345749977,"30",-1.41455864878053,-0.878496545701379,1.04178154674277,4.47100226956574,0.581020603844315,0.865264220205943,0.295517516719486,1.15780462382729,5.9300822978608,52.0699177021392
"ewrp65l2","3","18",74,81,0.333642356003959,0.0153233583714391,0.813434316569412,62,51,"111111111111111111111111111111111111100010001111111111110100111110111011111001011111001111101111101111100111110011011100111001110110011110111111001111100111111011111101111111010111111101111111111110011101110011111111111111100101101101001111111111110101111101111101011111101000110101111101011000101100101111111000111111101001101111011110000011110111101111111100010000010001111111101111011110000011110111101100101111111000111111101001101000110101111101011000101111110101111101111101011111111111100101101101001111111111111110011101110011111111111101111111010111111101111110111111001111100111111011110011011100111001110110011111001111101111101111100111110100111110111011111001011111111111100010001111111111111111111111111111111111111",0.333813884727019,0.0405840621910143,-0.880845789244596,-1.33822308719914,-0.546006229747938,-1.09699901323891,0.28124248131636,-0.00442447785281178,0.72703993972315,0.0308003465255809,0.82130171557271,0.999803099113612,0.255106878536805,0.0225140876551144,"74",0.202114263079242,0.258502547576656,-0.271591375038241,-0.133357745340247,-0.270779257234914,-0.146170180944184,-0.372660883840132,-0.382565833226017,28.9502263858914,52.0497736141086
"ug8w8cl6","2","6",51,81,-0.677076458542499,-0.704158440302484,0.536691312754672,30,35,"111011101111111111101110111100000001111111111100000001100010111111111111111010001000000111111111111111000000101011111111111111111110101100011111111111111111110001101111111111111111111111101001111111111111111111111100111111111111111111111111111111111111111111111111111111111111111111100001111111111111111111111101101111111111111111111111110011111111111111111111111110011111111111111111111111101101111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111001111111111111111111111100101111111111111111111111101100011111111111111111110001101011111111111111111110101000000111111111111111000000100010111111111111111010001100000001111111111100000001111011101111111111101110111",-1.40023087719044,-0.610576874882875,-3.0219311054642,-2.49949695345492,-2.46029958340463,-2.23069299156879,-2.15243966313104,-1.45823294044274,-1.51143487135051,-1.30338515386961,0.821301715572718,0.999803099113612,0.255106878536813,0.0225140876551144,"51",-0.953220711907467,-2.27751796736717,-0.69407497225451,-0.924596313661977,0.267533232950768,0.407732641788184,-0.147440662639384,0.271209564499016,31.8845366070612,49.1154633929388
"22u8ts67","20","22",59,77,-0.772561949206849,0.644869932211121,0.656230743963831,94,49,"111111111111222111111111111101110101111222111101011101110101011111222111110101011111010111111111111111010111110101111111111111111101011101011111111111111111110101110111111111111111111111011101111111111111111111111101111111111001111110011111111111111111101111111011111111111111110110110001111111111111111111110111001111111111222111111111010101111111222222111111110101111111111222222111111101110111111111222111111111100101001111111111111111111100011110011111111111111110111111111011111111111111110011111101111111111101111111111111111111111101110111111111111111111111011101011111111111111111110101110101111111111111111101011111010111111111111111010111110101011111222111110101011101110101111222111101011101111111111111222111111111111",-0.987354439494174,1.34642572518784,-2.72159768161808,-0.0463059109895906,-2.41254202343835,-0.127163243159057,-1.8154052993746,1.47354968391581,-1.56422673916285,1.14510856544117,0.561295566462278,0.797486727947615,-0.0219013910874502,-0.108478036095945,"59",-1.03788224611725,-1.98833037258832,0.33917295572006,1.23526000525601,-0.0320936483247982,0.461734947807056,0.116212218638316,0.116807511121776,29.7334959714262,47.2665040285738
"qr68nfqr","27","6",93,81,0.016562761115992,1.00461083154808,0.726615353397115,106,74,"110111101101010101101111011111111111111111111111111111011011100111101111001110110110111111111111111111111011111110100111000111001011111111100011111111111110001111111110110101010101011011111010101111111111111111101010110101011101101101110101011111111111111111111111111111011111010111111111010111110111111111111101111111111111011101011111000111110101110110101110110000011011101011011101011111000111110101110111111111111101111111111111011111010111111111010111110111111111111111111111111111110101011101101101110101011010101111111111111111101010111110110101010101011011111111100011111111111110001111111110100111000111001011111110111111111111111111111011011011100111101111001110110111111111111111111111111111110111101101010101101111011",0.135533204716852,1.71600355433789,-1.55254048307706,0.258528478902551,-1.14638881448758,0.341198135422272,-0.482244788675482,1.99456215820834,0.02479251338959,1.86530540956897,0.821301715572717,0.999803099113612,0.25510687853681,0.0225140876551144,"93",-0.211319948678686,-0.649007105725241,0.789209831015651,1.85333909468497,-0.304939552064091,-0.337526621588401,0.482460103402968,0.945794045319105,34.1061384538464,46.8938615461536
"hl7ol539","4","26",39,81,0.175856103658755,0.0153233583714391,0.770231161739177,62,45,"000110000000000000000011000011011100011111110001110110011101100011111110001101110101011111111000111111110101110111000111101111000111011011111111011111110111111110011101111111111111111101110000101111111111111111101000000101111111111111111101000000110111111101111111011000011111111111111111111111110011111111110111011111111110011011111111111111111110110011001111011101110111100110011011111111111111111110110011111111110111011111111110011111111111111111111111110000110111111101111111011000000101111111111111111101000000101111111111111111101000011101111111111111111101110011111111011111110111111110110111000111101111000111011101011111111000111111110101011101100011111110001101110011011100011111110001110110000110000000000000000011000",0.0026657252322315,0.473518090623924,-1.21509684219372,-1.33822308719914,-0.845363228491225,-1.1301120261561,-0.0986867130799282,-0.00442447785281178,0.377585129616596,0.0308003465255809,0.821301715572717,0.999803099113612,0.255106878536813,0.0225140876551144,"39",-0.00944692635905348,-0.205885295081379,-0.271591375038241,-0.133357745340247,-0.314000625617418,-0.283119622161153,-0.349666945678063,-0.382565833226017,34.3973621656106,46.6026378343894
"e3200kck","29","2",24,81,-0.979424539259152,0.105258583205679,0.453905957568923,66,69,"111111111111111111111111111111100101111111111101001111110111011111111111110111011111110111111111111111011111101101111111111111111101101101011111111111111111110101110111111111111111111111011101111111111111111111111101111111111111111111111111111111111111011111110111111111111111111101010101111111111111111111110111011111111111111111111101010101111111111111111111111101111111111111111111111101010101111111111111111111110111011111111111111111111101010101111111111111111111011111110111111111111111111111111111111111111101111111111111111111111101110111111111111111111111011101011111111111111111110101101101111111111111111101101111110111111111111111011111110111011111111111110111011111100101111111111101001111111111111111111111111111111",-1.50826432454589,0.695264788113952,-3.66241887188624,-1.19306385391717,-3.0321244622412,-1.00448739983108,-2.88045532372625,0.177301579970929,-2.18105589068851,0.197573534074979,0.821301715572715,0.999803099113612,0.255106878536809,0.0225140876551144,"24",-1.20679646972584,-2.83412997846569,-0.198115966826717,0.00424896219396712,0.363622271913959,1.2325015480711,-0.284460459527808,-0.368375272516988,37.0245979084693,43.9754020915307
"0epvtb35","12","63",78,81,-1.04136990944001,-1.31122120793361,0.436944813114559,3,40,"111111111111111111111111111111000000000000000000000111110000000000000000000000011100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000100100000000001100000000001111110000000001100000000000111100000000001100000000001111110000000001100000000000100100000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001100000000000000000000000001110000000000000000000000011111000000000000000000000111111111111111111111111111111",-2.17234076259515,-1.98681431486066,-3.79364263124758,-3.47932177810823,-3.14882666933323,-3.17151220393769,-3.02961188356331,-2.68488383075299,-2.31824849937137,-2.42910416982805,0.821301715572718,0.999803099113612,0.255106878536814,0.0225140876551144,"78",-1.25351801537236,-2.936686207451,-0.821939403341364,-1.16406423634359,1.11544097767842,1.43894378760147,1.35545462576312,1.88386442633978,39.6698664622662,41.3301335377338
"gqfw6hk3","19","30",30,81,-1.27632487073595,1.18448128121656,0.372612240281833,114,35,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000111000000000000000000000000010000000000000000000000000101000000000000000000000001010100000000000000000000010101010000000000000000000101010101000000000000000001010101010100000000000001010101010101010100000000011101010101010101110000000001010101010101010100000000000001010101010100000000000000000101010101000000000000000000010101010000000000000000000001010100000000000000000000000101000000000000000000000000010000000000000000000000000111000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",-2.83578059207538,1.91311172988458,-4.29136624177464,0.548846945466495,-3.59327052636716,0.627608628592633,-3.59535349817039,2.35801427385582,-2.83861158654095,2.19885178466776,0.821301715572718,0.999803099113612,0.255106878536813,0.0225140876551144,"30",-1.41455864878053,-3.29017879523262,1.04178154674277,2.32636215183383,2.14336834143784,2.33777351978889,0.718901439380009,1.46439453668541,40.0190103079764,40.9809896920236
