name,range,patternnum,pattern_id,uLSC,uInt,stimuli
0.6604_9neigh_outertot_code184_IC2_iter35.png,2,4,11,0.8493127920205841,66,101111010111111111111111111100000011000000000000000000111111000011111111110101101100000011100000000000101101110111010001111010100000001101000001010001010111111101100101101010101010000000101110110101010101010111110101000000101010001000000000101111111101011010101111010101100000010100010101000010101101011010001010101011110101101000001101010101000000001101011100000010101011111101101000011111010000000000001100111000000101100011111101110000011110100000000000001010111100000101011101111101100100010110101000010000001110100010100101111010101101100001000000000001010100101101110111111111101010110101100000000000000001000000101101111111111111100000110001100000000000000011000001101100011010110101000100100000010011010110101111111111111
0.7207_5neigh_outertot_code478_IC1_iter25.png,2,5,12,0.920072061255325,86,001111110000111000011111100011111111111101111111111110111101001011111110100101111111101100010010010001101111110011111010010010111110011111110101010010010101011111110111011011111110110111011110010111011101110111010011011011110100111001011110110010000001100111001100000010011111110011010110011111110011000110011000110011000110111000111100111001111000111101111101110111011101111101111000111100111001111000111011000110011000110011000110011111110011010110011111110010000001100111001100000010011011110100111001011110110110010111011101110111010011110111011011111110110111011111110101010010010101011111110011111010010010111110011111101100010010010001101111111101001011111110100101111011111111111101111111111110001111110000111000011111100
0.7605_5neigh_outertot_code461_IC1_iter40.png,2,6,13,0.9748770128126518,94,010100011100111001110001010101110011001010100110011101010000011111010111110000010110001111100010001111100011010011100110111011001110010000110111110101011111011000000111001000010000100111000111101001101010101100101111111101110011000110011101111101111010101111101010111101001011001000111000100110100011000011100101001110000110100011000111101111000110001111110110110000011011011111100011000111101111000110001011000011100101001110000110001011001000111000100110100101111010101111101010111101111101110011000110011101111111101001101010101100101111000111001000010000100111000000110111110101011111011000010011100110111011001110010110001111100010001111100011010000011111010111110000010101110011001010100110011101010100011100111001110001010
0.7785_9neigh_outertot_code3276_IC3_iter35.png,2,7,14,0.9806767876398864,110,100100101001000000101111100001101000110011011101100001000110000001011010010000010001100000110101101011001110111111100111000111011000101101011110011001001111010001001000100100110001001100001110011110101100011000100111010101001011110000100100100010110001010010000100000110011001011111100010011000001000010001101010110001111110001001111100101011110111001010101010010100110110101111001111100100101111101001001101001100110110001010111100100101001110110011110011110111100000001000010010001001111000010111110100100100001010101000010100101001001110101111100110111111101101011100100011101101001111000111100000000111100011111110011100011100111111010100110100101001001110101001111111000001011010101001011101110011100111111110011101110110101
0.1722_9neigh_outertot_code497_IC2_iter05.png,3,1,15,0.1179472434569747,7,111000000000000000000000111100000000000000000000000001100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001100000000000000000000000001111000000000000000000000111
0.3300_5neigh_tot_code497_IC2_iter10.png,3,2,16,0.377464279124328,11,110000001111111111100000011100000011111111111110000001000000111111111111111000000000001111111111111111100000000011111111111111111110000000111111111111111111111000001111111111111111111111100011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000011111111111111111111110010011111111111111111111110111011111111111111111111110010011111111111111111111110000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111110001111111111111111111111100000111111111111111111111000000011111111111111111110000000001111111111111111100000000000111111111111111000000100000011111111111110000001110000001111111111100000011
0.6052_5neigh_outertot_code491_IC1_iter10.png,3,3,18,0.8237862528535181,22,111111111111111111111111111100000000000000000000000001101111111111111111111111101101000000000000000000000101101011111111111111111110101101010000000000000000010101101010111111111111111010101101010100011000110001010101101010101010000010101010101101010100100000001001010101101010111000101000111010101101010110001111100011010101101010100011101110001010101101010100001000100001010101101010100011101110001010101101010110001111100011010101101010111000101000111010101101010100100000001001010101101010101010000010101010101101010100011000110001010101101010111111111111111010101101010000000000000000010101101011111111111111111110101101000000000000000000000101101111111111111111111111101100000000000000000000000001111111111111111111111111111
0.6064_9neigh_outertot_code489_IC2_iter25.png,3,4,17,0.7874133673117215,47,011111111111010111111111110101010000111111111000010101110110000010000010000011011101110000000000000000011101111110000000000000000011111100000000000000000000000001100000000000000000000000001100000000000001000000000001100000000000100000000000001110000000001110000000000011111000000010111111000000111110000000101000101001100011010000001101111101000000010110000000011100001000000011010000000111101111110000010110000001011101011110000011111000000100101001011100111110000000011001011100000011100000001011001000000000001100000000000110000000000001100000000000000000000000001100000000000000000000000001111110000000000000000011111101110000000000000000011101110110000010000010000011011101010000111111111000010101011111111111010111111111110
0.6754_9neigh_outertot_code85507_IC2_iter20.png,3,5,19,0.846994161972378,84,000000000000001111100000000010100100100101111101001010000000000000001111100000000010100000000001100011101010000000000010101100001100000000101100000000000000001000010100001010010000000101010000000001000000000000001000110000100010000000010000000110000000010100101010000010001000000000000000010010000001010000000111111111000010001000001000111111111000000001001000000000000100010101110000100000001010101010000110101000000000000100011111110100001010001000000111111110100100011111010010100011110000010001100000000101011000001001001100010001100011010100000010011100001101011000110100010011000001100011000000110110000000000011000010101000000100000001011010000000000100011101000000000010100101100000000001001010000000001100000011100000000
0.6845_9neigh_outertot_code491_IC2_iter20.png,3,6,20,0.9005890912789549,59,111101001111101111100101111100000110000000000011000001100000110000000000011000001100000100000000000001000001000000111000111000111000000100000111000000000111000001011111110010111010011111110011011100000111000001110110100011001011111110100110001100000000011111110000000001100000101111100001101000001100000001111101101100000001100010111111110011111010001000010111111110011111010000100010111111101101111010001100000001111100001100000001100000101111111111101000001100000000011111110000000001100011001011111110100110001011011100000111000001110110011111110010111010011111110100000111000000000111000001000000111000111000111000000100000100000000000001000001100000110000000000011000001100000110000000000011000001111101001111101111100101111
