pname,pid,grid_id,pattern_id,num_clicks,uLSC,uInt,fLSC_nondetrended,fInt_nondetrended,time_taken,final_grid,fLSCpold,fIntpold,uLSCr,uIntr,fLSCr,fIntr,uLSCp,uIntp,fLSCp,fIntp,uLSCdiffr,uIntdiffr,uLSCdiffp,uIntdiffp
jzptv7f8,1,12,41,81,0.9676097794179505,134,0.9676097794179505,134,29,010100101100101001101001010111100011001000100110001111011011100000101000001110110110001110011010110011100011001011111001111100111110100001111111001010100111111100101111100100111001001111101010111000010010010000111010110011000010101010000110011100000100111111111001000001000100011100111001110001000010111000100111001000111010101010101111101111101010101000111110111000111011111000101010101111101111101010101010111000100111001000111010000100011100111001110001000100000100111111111001000001110011000010101010000110011010111000010010010000111010101111100100111001001111101001111111001010100111111100001011111001111100111110100110001110011010110011100011011011100000101000001110110111100011001000100110001111010100101100101001101001010,0.3492346248524872,92.6,0.9676097794179516,134.0,-0.0118436740804422,18.58,0.9676097794179512,134.0,0.2499844882427249,73.43617021276596,-1.1102230246251563e-15,0.0,-7.771561172376097e-16,0.0
jzptv7f8,1,13,39,81,0.7702311617391767,62,0.7702311617391767,62,28,000110000000000000000011000011011100011111110001110110011101100011111110001101110101011111111000111111110101110111000111101111000111011011111111011111110111111110011101111111111111111101110000101111111111111111101000000101111111111111111101000000110111111101111111011000011111111111111111111111110011111111110111011111111110011011111111111111111110110011001111011101110111100110011011111111111111111110110011111111110111011111111110011111111111111111111111110000110111111101111111011000000101111111111111111101000000101111111111111111101000011101111111111111111101110011111111011111110111111110110111000111101111000111011101011111111000111111110101011101100011111110001101110011011100011111110001110110000110000000000000000011000,0.0519972719781125,-64.5,0.770231161739176,62.0,-0.2091255701240248,-52.989999999999995,0.770231161739176,62.0,0.0505060980354534,0.6702127659574444,6.661338147750939e-16,0.0,6.661338147750939e-16,0.0
jzptv7f8,1,14,42,81,0.9765683593847632,112,0.9765683593847632,112,29,000000111000110111100001100111110011100110001011011010001001000001101111000000111011000000111001111110100111010001110101110000001010001001010011010100011100011010010100010001011000001111010101110110010100011101101001111100001010100000100100001110100100000000100011001100010100000101011111011110001111101111101101001101110000111000111110001000011110010011011000000111111101100010000100010100100010100101101010001001010100011111001101001010100111011100110000001100011101000001110010010110011010010111110000001011000110110000011010100101100100111100011010000110110001111110011111011000001001000001011001101010001101111100000000101110110000000000001110111010111101110011100100101110100001101100001101111010100011000101000110000010000,0.170339992926148,49.1,0.9765683593847616,112.0,-0.0025040910544161,-7.170000000000002,0.9765683593847618,112.0,0.2590383722517377,51.202127659574465,1.5543122344752194e-15,0.0,1.3322676295501878e-15,0.0
jzptv7f8,1,15,85,30,0.211232953257335,5,0.3619643175605501,4,11,222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222111222222111111111111222222111222222111111111111222222111222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111222222222222222111111111111100222222222222111111111111000222222222222111111111110000222,-0.2253942397988231,-22.7,0.8434915504315551,76.98,-0.345883408588832,-48.26,0.6614652276706587,37.95744680851064,-0.2585429619065357,-28.45744680851064,-0.6322585971742201,-71.98,-0.4502322744133237,-32.95744680851064
jzptv7f8,1,16,89,81,0.8996233260850948,102,0.8996233260850948,102,35,011101111011010110111101110100101111011101110111101001100101111111101111111101001111111100101111101001111111000101001110111011100101000111111100001111100001111111111101010111111111010101111111000111100010001111000111111010011011111110110010111001110110011000110011011100111010101100111001101010111111101101100111001101101111011111101011010110101111110100111111011101110111111001011111101011010110101111110111101101100111001101101111111010101100111001101010111001110110011000110011011100111010011011111110110010111111000111100010001111000111111101010111111111010101111111111100001111100001111111000101001110111011100101000111111100101111101001111111100101111111101111111101001100101111011101110111101001011101111011010110111101110,0.1657162551686222,31.90000000000001,0.8996233260850928,102.0,-0.079618765260164,-13.099999999999994,0.8996233260850928,102.0,0.1812747747680304,41.09574468085106,1.9984014443252818e-15,0.0,1.9984014443252818e-15,0.0
jzptv7f8,1,17,91,81,0.9722793871439692,120,0.9722793871439692,120,27,110011010101000110101010010100100011111001000111100101000101110111111101000000001000101010110010111000100110101011000010010101100010101001000111111010111001101011010101001110110011101011000010110000110011010000000100010011001101110101000100011011100000010001001001111011110101010011001011111010001000011110010000000100111101111000100001001000011101011010000011111101010001110111110110010011000110100001101010100000100010100011110001100100011110001110000100100110001011001100110010011000000110010000010110011111101010000101001101101110011010100100001110010000101000100011011000101000110100001101001001000100010111010010010001000010100110000100000110001000010111101001010000000110100011100000011000010001101010010111010111001110011,0.1414980747971589,0.7999999999999972,0.9722793871439702,120.0,-0.0068318019252989,4.959999999999994,0.9722793871439702,120.0,0.2547037726466802,59.287234042553195,-9.992007221626409e-16,0.0,-9.992007221626409e-16,0.0
jzptv7f8,1,18,87,81,0.7763934740203636,32,0.7763934740203636,32,32,011111111111111111111111110111000000000000000000000111110111111111111111111111011101000000000000000000000101101000000000000000000000101101000000000000000000000101101000000000000000000000101101000000000000000000000101101000000000000000000000101101000000001111100000000101101000000010000010000000101101000000100010001000000101101000000100000001000000101101000000101010101000000101101000000100000001000000101101000000100010001000000101101000000010000010000000101101000000001111100000000101101000000000000000000000101101000000000000000000000101101000000000000000000000101101000000000000000000000101101000000000000000000000101101000000000000000000000101110111111111111111111111011111000000000000000000000111011111111111111111111111110,-0.0801729274766642,-42.7,0.7763934740203652,32.0,-0.202991349123128,-83.37,0.7763934740203651,32.0,0.0567339668302703,-29.648936170212764,-1.5543122344752194e-15,0.0,-1.4432899320127037e-15,0.0
jzptv7f8,1,19,90,81,0.946626538265491,63,0.946626538265491,63,41,111111111111111111111101111100000000000000010100101001100111111111110000101101111101000100000100001100101001101100011110100100001001011101100001011010111101011011101100001000010100101000001100110101011110111100101101110101101110011100000010101101110000001000111110001101110001111011010000010010101110100000000001111110110111101101011111110001000101101101001010000010100010011000101101011000101011100010001100101000110101000010011001110010111110000011010100101101110101100011000010011101101000000110011000101010101101110100100000001101010001100001100011000110001010001101101000000000000001011001100101110011001010101000101101101001000000011100111101100011111111111100011001001100100000000000001100101001011111111111111111011111111,0.2815056402586893,3.0,0.946626538265491,63.0,-0.0329762493473686,-52.150000000000006,0.946626538265491,63.0,0.2287780211205585,1.6808510638297849,0.0,0.0,0.0,0.0
jzptv7f8,1,20,88,81,0.8573276323656119,39,0.8573276323656119,39,29,000000111111000111111000000000001111001000100111100000000011110011000110011110000000111100111111111001111000001111001111111111100111100011110011111111111110011110111100111111111111111001111111001111111101111111100111110011111111010111111110011100111111110111011111011001001111111101101101000001100011111111011010111000000100111111110110101010001111100101110101100010100001111000001111101100001111001111000000111110111100010001111100111111111011110000000000100101111111111111100010001100100111111100110110111011001110011111111111100011110011111001111000101110001100111111100111100101100011001111011110011111100100110011110001111001111110001100111100000111100111110011001111000000011110011110110011110000000001111001111100111100000,0.1125644893455635,-21.700000000000003,0.8573276323656107,39.0,-0.1219766102311151,-76.52,0.8573276323656107,39.0,0.1385291268600424,-22.574468085106385,1.2212453270876722e-15,0.0,1.2212453270876722e-15,0.0
jzptv7f8,1,22,64,81,0.0793894468859112,4,0.0793894468859112,4,32,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111110001111111111111111111111111010111111111111111111111111100011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,-0.6620326879433428,-93.2,0.0793894468859113,4.0,-0.9000299735208231,-112.67,0.0793894468859113,4.0,-0.6476849967630595,-57.9468085106383,-1.1102230246251563e-16,0.0,-1.1102230246251563e-16,0.0
